school_name,district_name,year,grad_rate,cohort_size,sat_total,sat_math,sat_reading,sat_writing,school_grade,grade_score,mobility_rate,mobility_count,discipline_percent,hope_eligible_count,hope_eligible_percent
APPLING COUNTY HIGH SCHOOL,Appling County,2023-24,93.75,225.0,997.5,485.3,260.5,251.6,,,2.8000000000000003,1012.0,51.274,108.0,45.76
APPLING COUNTY HIGH SCHOOL,Appling County,2023-24,93.75,225.0,997.5,485.3,260.5,251.6,,,2.8000000000000003,1012.0,51.1234,108.0,45.76
APPLING COUNTY HIGH SCHOOL,Appling County,2023-24,93.75,225.0,997.5,485.3,260.5,251.6,,,2.8000000000000003,1012.0,51.095200000000006,108.0,45.76
APPLING COUNTY HIGH SCHOOL,Appling County,2023-24,93.75,225.0,997.5,485.3,260.5,251.6,,,2.8000000000000003,1012.0,51.06400000000001,108.0,45.76
APPLING COUNTY HIGH SCHOOL,Appling County,2023-24,93.75,225.0,997.5,485.3,260.5,251.6,,,2.8000000000000003,1012.0,50.972,108.0,45.76
APPLING COUNTY HIGH SCHOOL,Appling County,2023-24,93.75,225.0,997.5,485.3,260.5,251.6,,,2.8000000000000003,1012.0,50.68,108.0,45.76
APPLING COUNTY HIGH SCHOOL,Appling County,2023-24,93.75,225.0,997.5,485.3,260.5,251.6,,,2.8000000000000003,1012.0,50.6954,108.0,45.76
APPLING COUNTY HIGH SCHOOL,Appling County,2023-24,93.75,225.0,997.5,485.3,260.5,251.6,,,2.8000000000000003,1012.0,50.3232,108.0,45.76
APPLING COUNTY HIGH SCHOOL,Appling County,2023-24,93.75,225.0,997.5,485.3,260.5,251.6,,,2.8000000000000003,1012.0,50.452200000000005,108.0,45.76
APPLING COUNTY HIGH SCHOOL,Appling County,2023-24,93.75,225.0,997.5,485.3,260.5,251.6,,,2.8000000000000003,1012.0,50.1524,108.0,45.76
APPLING COUNTY HIGH SCHOOL,Appling County,2023-24,93.75,225.0,997.5,485.3,260.5,251.6,,,2.8000000000000003,1012.0,50.57600000000001,108.0,45.76
ATKINSON COUNTY HIGH SCHOOL,Atkinson County,2023-24,94.74,108.0,1016.1,483.3,269.4,263.3,,,1.1,447.0,49.7116,61.0,56.48
ATKINSON COUNTY HIGH SCHOOL,Atkinson County,2023-24,94.74,108.0,1016.1,483.3,269.4,263.3,,,1.1,447.0,49.9718,61.0,56.48
ATKINSON COUNTY HIGH SCHOOL,Atkinson County,2023-24,94.74,108.0,1016.1,483.3,269.4,263.3,,,1.1,447.0,50.9724,61.0,56.48
ATKINSON COUNTY HIGH SCHOOL,Atkinson County,2023-24,94.74,108.0,1016.1,483.3,269.4,263.3,,,1.1,447.0,50.25920000000001,61.0,56.48
ATKINSON COUNTY HIGH SCHOOL,Atkinson County,2023-24,94.74,108.0,1016.1,483.3,269.4,263.3,,,1.1,447.0,51.2384,61.0,56.48
ATKINSON COUNTY HIGH SCHOOL,Atkinson County,2023-24,94.74,108.0,1016.1,483.3,269.4,263.3,,,1.1,447.0,51.241200000000006,61.0,56.48
ATKINSON COUNTY HIGH SCHOOL,Atkinson County,2023-24,94.74,108.0,1016.1,483.3,269.4,263.3,,,1.1,447.0,50.677600000000005,61.0,56.48
ATKINSON COUNTY HIGH SCHOOL,Atkinson County,2023-24,94.74,108.0,1016.1,483.3,269.4,263.3,,,1.1,447.0,50.637,61.0,56.48
ATKINSON COUNTY HIGH SCHOOL,Atkinson County,2023-24,94.74,108.0,1016.1,483.3,269.4,263.3,,,1.1,447.0,50.1428,61.0,56.48
ATKINSON COUNTY HIGH SCHOOL,Atkinson County,2023-24,94.74,108.0,1016.1,483.3,269.4,263.3,,,1.1,447.0,51.35660000000001,61.0,56.48
ATKINSON COUNTY HIGH SCHOOL,Atkinson County,2023-24,94.74,108.0,1016.1,483.3,269.4,263.3,,,1.1,447.0,50.4774,61.0,56.48
BACON COUNTY HIGH SCHOOL,Bacon County,2023-24,97.37,148.0,1022.7,495.9,266.8,260.0,,,3.3000000000000003,632.0,49.9538,69.0,47.92
BACON COUNTY HIGH SCHOOL,Bacon County,2023-24,97.37,148.0,1022.7,495.9,266.8,260.0,,,3.3000000000000003,632.0,49.8848,69.0,47.92
BACON COUNTY HIGH SCHOOL,Bacon County,2023-24,97.37,148.0,1022.7,495.9,266.8,260.0,,,3.3000000000000003,632.0,50.6812,69.0,47.92
BACON COUNTY HIGH SCHOOL,Bacon County,2023-24,97.37,148.0,1022.7,495.9,266.8,260.0,,,3.3000000000000003,632.0,51.141000000000005,69.0,47.92
BACON COUNTY HIGH SCHOOL,Bacon County,2023-24,97.37,148.0,1022.7,495.9,266.8,260.0,,,3.3000000000000003,632.0,51.7706,69.0,47.92
BACON COUNTY HIGH SCHOOL,Bacon County,2023-24,97.37,148.0,1022.7,495.9,266.8,260.0,,,3.3000000000000003,632.0,50.4544,69.0,47.92
BACON COUNTY HIGH SCHOOL,Bacon County,2023-24,97.37,148.0,1022.7,495.9,266.8,260.0,,,3.3000000000000003,632.0,50.22,69.0,47.92
BACON COUNTY HIGH SCHOOL,Bacon County,2023-24,97.37,148.0,1022.7,495.9,266.8,260.0,,,3.3000000000000003,632.0,52.0328,69.0,47.92
BACON COUNTY HIGH SCHOOL,Bacon County,2023-24,97.37,148.0,1022.7,495.9,266.8,260.0,,,3.3000000000000003,632.0,50.208,69.0,47.92
BACON COUNTY HIGH SCHOOL,Bacon County,2023-24,97.37,148.0,1022.7,495.9,266.8,260.0,,,3.3000000000000003,632.0,51.35520000000001,69.0,47.92
BACON COUNTY HIGH SCHOOL,Bacon County,2023-24,97.37,148.0,1022.7,495.9,266.8,260.0,,,3.3000000000000003,632.0,50.50920000000001,69.0,47.92
BAKER COUNTY K12 SCHOOL,Baker County,2023-24,100.0,22.0,,,,,,,,,49.5716,,
